organisateur,etat_dossier,description_projet,zone_geo_projet,id_action,nom,description_action,lien_programme,est_dematerialisee,adresse,nom_commune,nom_departement,insee_dep,date_debut,date_fin,type_action_str,est_grand_public,public_cible_str,risque_cible_str,est_atelier_jeux,est_atelier_sensibilisation,est_conference,est_exercice_de_gestion_de_crise,est_exposition,est_formation,est_reunion_d_information,est_spectacle,est_visite_en_plein_air,est_visite_en_interieur,est_autre,est_tous_public,est_famille,est_jeune_public,est_seniors,est_risques_naturels,est_risques_technologiques,est_inondations,est_feux_de_foret,est_tempete_cyclone,est_seisme,est_eruption_volcanique,est_mouvement_de_terrain,est_risques_littoraux,est_avalanche,est_radon,est_accidents_industriels,est_accidents_nucleaires,est_rupture_de_barrage,est_transport_de_matieres_dangereuses,lat,lon
Collectif scientifique pour la sauvegarde et la valorisation du patrimoine culturel immatériel et ethnologique face aux perturbations environnementales,en_instruction,"L’association Cronos et ses partenaires sont engagés dans un projet participatif de recueil et de valorisation patrimoniale de la mémoire de la tempête Xynthia. La collecte des témoignages, des photographies et des films se référant à Xynthia, reliée à une analyse et à une mise en valeur de ces récits pour sauvegarder la mémoire via différents dispositifs de médiation, vise à contribuer à la prévention et au développement d’une culture du risque de submersion sur les territoires concernés. ",85-VENDEE,13423561_A_1,Recueil et valorisation patrimoniale de la mémoire de la tempête Xynthia ,"Le projet consiste en la réalisation d’un vaste recueil des témoignages de la population qui a été affectée par la tempête Xynthia, ainsi que des images et films se référant à cet épisode qui ont été produits et conservés par les particuliers. Des dispositifs patrimoniaux (portail numérique, QR-code in situ, exposition, spectacle vivant) vont être créés au service de la résilience du territoire face au risque des submersions futures. ",,True,,,,,2023-10-01,2026-10-01,Autre,True,Tous publics,Risques littoraux,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,
Commune de Saint-Pée-sur-Nivelle,en_instruction,Le projet consiste en une diffusion la plus large possible auprès de la population du Document d'Information Communal sur les Risques Majeurs (DICRIM) afin de renforcer la culture du risque sur le territoire communal,64-PYRENEES-ATLANTIQUES,13452120_A_1,Diffusion du Document d'Information Communal sur les Risques Majeurs (DICRIM),Le projet consiste en une diffusion la plus large possible auprès de la population du Document d'Information Communal sur les Risques Majeurs (DICRIM) afin de renforcer la culture du risque sur le territoire communal,www.saintpeesurnivelle.fr,False,Rue Karrika 64310 Saint-Pée-sur-Nivelle,Saint-Pée-sur-Nivelle,Pyrénées-Atlantiques,64,2023-10-01,2023-10-31,Autre,True,Tous publics,"Inondations, Feux de forêt, Séisme, Mouvement de terrain, Inondations, Feux de forêt, Séisme, Mouvement de terrain",False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,43.3548262,-1.5504303
Mairie de Valence,accepte,"Dans le cadre de la journée « Tous résilients » du 13 octobre 2023, nous souhaitons proposer un ensemble exposition + animations autour de la prévention des risques. Cet ensemble sera composé : d’un stand autour de notre DICRIM, une exposition autour du concept des risques majeurs (risques industriels et risques naturels) et des bons comportements à adopter (kakemonos + photos),un escape game sur les risques majeurs, une maquette inondation (animation), un stand d’initiation aux gestes de premiers secours (animation) et un stand de promotion de l’engagement citoyen de sapeur-pompier volontaire. Également, le jeudi, nous allons proposer une pièce de théâtre de la compagnie Essentiel Ephémère (2 représentations).    Ces activités seront destinées au scolaires (du lundi au vendredi), au MPT le mercredi et au grand public (samedi ) dans le cadre de la fête de la science. ",26-DROME,13456621_A_1,"Semaine ""Tous résielients!""","Dans le cadre de la journée « Tous résilients » du 13 octobre 2023, nous souhaitons proposer un ensemble exposition + animations autour de la prévention des risques. Cet ensemble sera composé : d’un stand autour de notre DICRIM, une exposition autour du concept des risques majeurs (risques industriels et risques naturels) et des bons comportements à adopter (kakemonos + photos),un escape game sur les risques majeurs, une maquette inondation (animation), un stand d’initiation aux gestes de premiers secours (animation) et un stand de promotion de l’engagement citoyen de sapeur-pompier volontaire. Également, le jeudi, nous allons proposer une pièce de théâtre de la compagnie Essentiel Ephémère (2 représentations).    Ces activités seront destinées au scolaires (du lundi au vendredi) et au grand public (samedi et dimanche) dans le cadre de la fête de la science. ",,False,Place Latour Maubourg 26000 Valence,Valence,Drôme,26,2023-10-09,2023-10-14,"Atelier sensibilisation, Formation, Atelier Jeux, Visite en plein air",True,Tous publics,"Inondations, Feux de forêt, Tempête/cyclone, Séisme, Éruption volcanique, Mouvement de terrain, Avalanche, Inondations, Feux de forêt, Tempête/cyclone, Séisme, Éruption volcanique, Mouvement de terrain, Avalanche",True,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,44.93308935,4.903767822417974
MAIRIE DE DUCLAIR,en_construction,"Le Département de la Seine-Maritime et la ville de Duclair s’associent pour mettre en place une résidence artistique territoriale autour de l’œuvre « Amplitude », conçue pour être un repère de crue.  Installée près de l’embarcadère du bac, elle est visible d’un grand nombre d’habitants du territoire qui doivent désormais se l’approprier. La résidence permettra d’assurer une présence artistique sur le territoire de la commune à partir d’un projet d'actions culturelles et artistiques en direction des habitants, permettant de les familiariser avec l’œuvre « Amplitude » et son message.  La ville de Duclair s'associe également au Forum/Maison de l'Architecture dans le cadre du festival Zig Zag ",76-SEINE-MARITIME,13439827_A_1,Visite libre de l'œuvre AMPLITUDE dans le cadre du festival ZigZag,"S’installer dans l’espace public, imaginer de nouveaux usages, des installations éphémères ou pérennes, pour interpeller et surprendre, se questionner sur les endroits qu’on habite aujourd’hui et ce qu’ils seront demain. L’œuvre a reçu le Prix Eiffel dans la catégorie « Micro Architecture » en octobre 2022. En partenariat avec la Ville de Duclair. Installation permanente Bords de Seine, à gauche du bac Accès libre en extérieur.",https://festivalzigzag.fr/ ,False,"Quai de Seine, 76480 Duclair",Duclair,Seine-Maritime,76,2023-09-30,2023-10-15,Visite en plein air,True,Tous publics,Inondations,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,49.4818067,0.8779221
MAIRIE DE DUCLAIR,en_construction,"Le Département de la Seine-Maritime et la ville de Duclair s’associent pour mettre en place une résidence artistique territoriale autour de l’œuvre « Amplitude », conçue pour être un repère de crue.  Installée près de l’embarcadère du bac, elle est visible d’un grand nombre d’habitants du territoire qui doivent désormais se l’approprier. La résidence permettra d’assurer une présence artistique sur le territoire de la commune à partir d’un projet d'actions culturelles et artistiques en direction des habitants, permettant de les familiariser avec l’œuvre « Amplitude » et son message.  La ville de Duclair s'associe également au Forum/Maison de l'Architecture dans le cadre du festival Zig Zag ",76-SEINE-MARITIME,13439827_A_2,Visite guidée de l'œuvre AMPLITUDE dans le cadre du festival ZigZag,"L’œuvre Amplitude, installée en 2021, vise à sensibiliser aux risques de crues et à modifier notre regard sur le fleuve. La visite au départ de l’œuvre témoins de crue propose de mettre en perspective ces questions environnementales.",https://festivalzigzag.fr/ ,False,"Quai de Seine, 76480 Duclair",Duclair,Seine-Maritime,76,2023-10-01,2023-10-01,Visite en plein air,True,Tous publics,Inondations,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,49.4818067,0.8779221
ASSOCIATION FRANCAISE POUR LA PREVENTION DES CATASTROPHES NATURELLES ET TECHNOLOGIQUES (AFPCNT),en_construction,"L’AFPCNT et l’IMdR ont convenu de mettre en commun leurs efforts pour co-organiser une journée résilience qui satisfasse les objectifs des deux parties. La journée répondra aux objectifs suivants : - Valoriser et consolider les travaux menés par l’IMdR et l’AFPCNT sur le concept de résilience ; - Faire de la continuité d’activité le fil conducteur de la journée comme élément structurant pour développer des démarches pluridisciplinaires de résilience ; - Croiser les approches sur le sujet dans ses différentes composantes (mise en oeuvre, évaluation…) ; - Tirer des enseignements des exposés et des débats pour poursuivre les travaux tant de l’IMdR que de l’AFPCNT et des autres organismes associés à la journée sur le sujet de la résilience. Ouverte au grand public et aux professionnels de la prévention et de la gestion des risques, cette journée de séminaire donnera la parole à un grand nombre d’experts. Elle abordera la résilience dans ses différentes composantes de mise en œuvre, d’évaluation, de formation, etc. Il s’agira de poser des repères comme autant de jalons à suivre vers la résilience collective.",93-SEINE-SAINT-DENIS,13474473_A_1,Séminaire résilience,"L’AFPCNT et l’IMdR ont convenu de mettre en commun leurs efforts pour co-organiser une journée résilience qui satisfasse les objectifs des deux parties. La journée répondra aux objectifs suivants : - Valoriser et consolider les travaux menés par l’IMdR et l’AFPCNT sur le concept de résilience ; - Faire de la continuité d’activité le fil conducteur de la journée comme élément structurant pour développer des démarches pluridisciplinaires de résilience ; - Croiser les approches sur le sujet dans ses différentes composantes (mise en oeuvre, évaluation…) ; - Tirer des enseignements des exposés et des débats pour poursuivre les travaux tant de l’IMdR que de l’AFPCNT et des autres organismes associés à la journée sur le sujet de la résilience. Ouverte au grand public et aux professionnels de la prévention et de la gestion des risques, cette journée de séminaire donnera la parole à un grand nombre d’experts. Elle abordera la résilience dans ses différentes composantes de mise en œuvre, d’évaluation, de formation, etc. Il s’agira de poser des repères comme autant de jalons à suivre vers la résilience collective.",https://www.imdr.eu/offres/gestion/events_818_54741_oui-1/la-resilience-est-elle-une-mode-durable-les-jalons-vers-une-resilience-collective.html,True,,,,,2023-10-19,2023-10-19,Conférence,True,Tous publics,"Inondations, Feux de forêt, Tempête/cyclone, Séisme, Éruption volcanique, Mouvement de terrain, Risques littoraux, Avalanche, Radon, Inondations, Feux de forêt, Tempête/cyclone, Séisme, Éruption volcanique, Mouvement de terrain, Risques littoraux, Avalanche, Radon",False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,
ASSOCIATION NATIONALE COMPAGNONS BATISSEURS,en_construction,"Le projet de ""soutien à la préservation en cas de catastrophe naturelle"" vise à accompagner la population vulnérable a se préparer, se protéger et s'adapter face aux risques naturels et notamment face au risques naturels dont le territoire de Saint-Martin peut etre soumis.",978-SAINT-MARTIN,13498791_A_1,ANIMATIONS COLLECTIVES ET PREVENTION DES RISQUES,"Les animations collectives sont organisées tout au long de l'année au sein des différents quartiers prioritaires de la ville et en veille active du territoire de Saint-Martin en vue de permettre aux habitants de développer les comportements et attitudes à adopter en cas de phénomène, mais également à fournir à chaque participant un sac d'évaluation complet",,False,SAINT MARTIN,Saint-Martin,Saint-Martin,978,2023-06-01,2023-12-25,"Atelier sensibilisation, Formation, Réunion d'information, Atelier Jeux",True,Tous publics,"Tempête/cyclone, Mouvement de terrain, Séisme",True,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,18.0814066,-63.0467131
ASSOCIATION NATIONALE COMPAGNONS BATISSEURS,en_construction,"Le projet de ""soutien à la préservation en cas de catastrophe naturelle"" vise à accompagner la population vulnérable a se préparer, se protéger et s'adapter face aux risques naturels et notamment face au risques naturels dont le territoire de Saint-Martin peut etre soumis.",978-SAINT-MARTIN,13498791_A_2,Accompagnement à l'auto-sécurisation cyclonique,"l'action d'accompagnement à l'auto-sécurisation cyclonique consiste à accompagner les ménages les plus vulnérables (notamment au sein des 2 quartiers prioritaires de la ville du territoire, à savoir Sandy-Ground et Quartier d'Orléans) à effectuer les protections necessaires en cas de survenance d'un phénomène cyclonique. Cela passe par l'accompagnement à la pose de planches au niveaux des ouvertures du logement mais également à l'accompagnement à la réparation des systèmes de fermeture du logement.",,False,Saint-Martin ,Saint-Martin,Saint-Martin,978,2023-07-24,2023-08-31,"Autre, Formation",True,Tous publics,Tempête/cyclone,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.0814066,-63.0467131
Mairie de Montpellier,accepte,"Le vendredi 13 octobre 2023 à Montpellier, un Village de la prévention des risques sera ouvert au public dans le quartier Centre, place du Nombre d’Or. Il s’agira pour les participants, au travers d’animations ludiques et pédagogiques (énigmes, jeux, quizz, casques de réalité virtuelle, mises en situation, ateliers…), d’apprendre en s’amusant sur les risques climatiques auxquels ils peuvent être confrontés à Montpellier : pluie-inondation, canicule-sécheresse et feux de forêt. Le parcours, à effectuer seul ou en équipe, se présentera sous la forme d'épreuves à passer dans les différentes Maisons du Village : CLIMAT, IMMERSION RISQUES, RESILIENCE, ENGAGEMENT CITOYEN.",34-HERAULT,13170147_A_1,Village de la prévention des risques tous publics,"Tous les Montpelliérains à partir de 9 ans sont invités à venir apprendre à mieux se protéger des risques le vendredi 13 octobre. Ils pourront se présenter à l'accueil entre 9h et 18h pour effectuer tout ou partie des animations (durée totale entre 15 et 45 mn). En partenariat avec l'Académie de Montpellier, les classes de Cm1-Cm2 des écoles du quartier Centre et des bassins à risques ont été conviées à participer au Village. 8 classes se sont déjà inscrites ce qui représente 207 enfants qui seront accompagnés de leurs enseignants. En lien avec le CCAS, il est également envisagé de communiquer auprès des Clubs de l'Age d'or de la Ville afin de toucher ce public prioritaire. Quelques exemples d'animations proposées : Qu’est-ce qu’une maison résiliente ? (autour d’une maquette) ; Je construis mon batardeau (atelier) ; Je prévois le risque, j’organise ma défense et que faire en cas de sinistre ? ; 15 ans d’inondation sur les bassins versant du Lez (exposition) ; jeu de société « premières connaissances sur les risques majeurs » (jeu en équipe) ; les moyens d’intervention des pompiers (véhicule) ; je me prépare et comment je réagis (casques de réalité virtuelle) ; jeu sur le kit d’urgence et quizz sur les dispositifs d’alerte ; boîte à risque inondation et feux de forêt, quizz sur le DICRIM ; mises en situation de risque (casques de réalité virtuelle) ; les GES et le réchauffement climatique (quizz) ; la veille de la météo et les vigilances (quizz) ; atelier sur pluviométrie...",https://www.montpellier.fr/,False,Place du Nombre d'Or 34000 Montpellier,Montpellier,Hérault,34,2023-10-13,2023-10-13,"Atelier Jeux, Atelier sensibilisation, Exposition, Visite en plein air",True,Tous publics,"Inondations, Feux de forêt",True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,43.608261,3.8868814
EPTB Somme AMEVA,accepte,"Organisée sur les TRI d’Amiens et d’Abbeville, l’exposition itinérante « Village-inondation » cible principalement les enseignants et élèves du cycle 3 et 4 (CM1 jusqu’en 4e). Elle vise la promotion la culture du risque en l’abordant de manière ludique, apporte des compléments pédagogiques à la sensibilisation aux risques prévus dans les programmes scolaires et entretient la mémoire des inondations de 2001 chez les jeunes générations en les formant à être acteur de leur propre sécurité.",80-SOMME,13077452_A_1,4e édition du village-inondation sur le Territoires à Risque Important d’inondation d’Abbeville,"Organisé sur deux jours, le village exposition proposera à environ 300 élèves et enseignants inscrits un parcours initiatique d’environ 2 heures articulé autour de 8 stands et ateliers animés par des acteurs publics et associatifs locaux. Au cours des différentes animations, ils redécouvriront leur territoire sous l’angle des risques d’inondations et apprendrons à anticiper la crise, notamment les bons gestes à adopter en cas de crue, mais aussi le rôle des acteurs de la gestion des secours.",https://www.ameva.org/fr/page/education-au-risque-culture-du-risque-12,False,"Garopôle, Pl. de la Gare, 80100 Abbeville",Abbeville,Somme,80,2023-10-12,2023-10-13,"Visite en intérieur, Atelier Jeux, Atelier sensibilisation, Exposition",False,Scolaire,"Inondations, Risques littoraux",True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
CPIE Littoral basque,en_instruction,"Le CPIE littoral basque a développé depuis 2019 un important travail d’information, de sensibilisation/formation et de mobilisation de la population du littoral basque (habitants, professionnels, collectivités territoriales, établissements scolaires) dans l’adaptation au changement climatique et plus spécifiquement aux risques littoraux (érosion, submersion, inondation, pollution) par l’appropriation d’une culture du risque.   Ce travail était financé majoritairement dans le cadre d’un fond FEDER FSE 2014/2020 Région Nouvelle-Aquitaine (Arriskua 1) en 2019 et 2020 et en prolongement en 2021 et 2022 avec le soutien de la Mission Littorale de la Région Nouvelle-Aquitaine (Arriskua 2 et 3) et la DREAL Nouvelle Aquitaine (Arriskua 3).   L’ensemble du programme a été mis en place de manière complémentaire aux politiques publiques de gestion et de prévention menées par la Région Nouvelle-Aquitaine et la Communauté d’Agglomération Pays basque CAPB (Stratégie de gestion des risques littoraux).    L’élaboration de notre projet Arriskua corresponde à la fois aux priorités spécifiques du plan opérationnel Feder et aux 5 étapes de la méthodologie NéoTerra. ",64-PYRENEES-ATLANTIQUES,13539875_A_1,Le littoral vu d'en haut,"Il s'agit d'une exposition sur 3 mois sur le recul du trait de côte sur le littoral basque. Une série de photos prises par drone opéré par le BRGM montre les phénomènes d'éboulement des falaises et les enjeux de l'urbanisation. Des explications géologiques seront présentées et de l'information sur la gestion du recul (qui fait quoi). En même temps des œuvres d'artistes et de photographes présentent le recul chacun à sa manière. Les visiteurs seront invités à imaginer différents scenarios sur les 50ans à venir, les conséquences possibles et des solutions à mettre en place pour créer un territoire plus résilient.",https://cpie-littoral-basque.eu/,False,"Asporotsttipi-la Maison de la Corniche, route de la Corniche 64700 Hendaye",Hendaye,Pyrénées-Atlantiques,64,2023-09-30,2023-12-15,Exposition,True,Tous publics,"Risques littoraux, Mouvement de terrain, Inondations",False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,43.3775837,-1.7388442974159166
CPIE Littoral basque,en_instruction,"Le CPIE littoral basque a développé depuis 2019 un important travail d’information, de sensibilisation/formation et de mobilisation de la population du littoral basque (habitants, professionnels, collectivités territoriales, établissements scolaires) dans l’adaptation au changement climatique et plus spécifiquement aux risques littoraux (érosion, submersion, inondation, pollution) par l’appropriation d’une culture du risque.   Ce travail était financé majoritairement dans le cadre d’un fond FEDER FSE 2014/2020 Région Nouvelle-Aquitaine (Arriskua 1) en 2019 et 2020 et en prolongement en 2021 et 2022 avec le soutien de la Mission Littorale de la Région Nouvelle-Aquitaine (Arriskua 2 et 3) et la DREAL Nouvelle Aquitaine (Arriskua 3).   L’ensemble du programme a été mis en place de manière complémentaire aux politiques publiques de gestion et de prévention menées par la Région Nouvelle-Aquitaine et la Communauté d’Agglomération Pays basque CAPB (Stratégie de gestion des risques littoraux).    L’élaboration de notre projet Arriskua corresponde à la fois aux priorités spécifiques du plan opérationnel Feder et aux 5 étapes de la méthodologie NéoTerra. ",64-PYRENEES-ATLANTIQUES,13539875_A_2,"Atelier terrain Arriskua - Baie de Txingudi, changement climatique et risques en estuaire","Cette sortie très courte (+/- 8km A/R) se fera aux abords de l'estuaire du fleuve Bidassoa de Caneta au Centre Nautique.  Cet estuaire est un milieu riche et dynamique, constitué de marais, de bancs de sable, de lagunes, c'est un lieu de passage très apprécié des oiseaux migrateurs. La zone est sujette au risque d'inondation, éventuellement aggravé par le risque de submersion.  L'objet de la sortie est de mieux comprendre le fonctionnement hydrologique et écologique de l'estuaire, accompagné par notre animateur et illustré par des petits ""travaux"" de lecture de paysage. C'est aussi l'opportunité d'aborder tranquillement les questions de risque associées à ce milieu: mieux connaître pour mieux s'y préparer...",https://cpie-littoral-basque.eu/agenda/952-atelier_terrain_arriskua_baie_de_txingudi_changement_climatique_et_risques_en_estuaire,False,Boulevard de la baie de Txingudi 64700 Hendaye (RDV précisé au moment de l'inscription),Hendaye,Pyrénées-Atlantiques,64,2023-10-11,2023-10-11,"Visite en plein air, Atelier sensibilisation",True,Tous publics,"Inondations, Risques littoraux",False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
COLLEGE MONDETOUR,accepte,"Organisation d'une sensibilisation des élèves de 6èmes aux risques majeurs, dans le cadre du CESC et du parcours citoyen. Chaque classe suit un parcours de sensibilisation d'une heure avec présentation des conduites à tenir avant de s'exercer.",91-ESSONNE,13520411_A_1,Sensibilisation aux risques majeurs,"Les élèves suivent une heure de sensibilisation par classe, heure qui est consacrée à : - Explication d’un risque majeur, - Présentation de l’ensemble des risques existants avec vidéos - Identification des risques pour notre collège avec une cartographie et des exercices interactifs. - Explications sur la démarche à suivre et comment y faire face. Des courtes vidéos viennent en appui ainsi que l’écoute des différentes sonneries d’alerte. - Résumé sous forme de questionnaire pour vérifier les acquis et permettre de mettre en place des automatismes  - Mise en pratique par un exercice de mise en situation dans les semaines suivantes avec information aux familles grâce à un flyer",,False,4 Rue des Lorrains 91940 Les Ulis,Les Ulis,Essonne,91,2023-10-02,2023-10-20,"Formation, Atelier sensibilisation",False,Scolaire,"Tempête/cyclone, Feux de forêt, Tempête/cyclone, Feux de forêt",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,48.6836202,2.181025
Etablissement public territorial de bassin Saône et Doubs,en_instruction,"Dans le Val de Saône, plus de 100 000 personnes vivent en zone inondables et 13 000 entreprises y sont installées. Or, plus de la moitié des personnes concernées l’ignorent. Dans le cadre du programme d’études préalables au PAPI Val de Saône et côte viticole, l’EPTB S&D et la Métropole de Lyon s’appuient sur la médiation artistique pour sensibiliser les populations au risque inondation. La manifestation s’articule autour d’ateliers participatifs et d’une déambulation ponctuée d’installations scénographiques, d’expériences sensitives et sonores pour toucher un large public.",69-RHONE,13490469_A_1,Déambulation,"Le collectif LA FOLIE KILOMETRE propose une marche entre fictions et réalité, construite sur une partition interrogeant le rapport des habitants du val de Saône à sa vulnérabilité aux inondations, et mettant en regard les diagnostics passés et en cours d’élaboration. Au-delà du fait de se mettre en marche pour arpenter un paysage, nous cherchons à déplacer les perceptions et les sensations que l’on peut en avoir. Un rendez-vous commun pour marcher ensemble, les moment partagés et les temps collectifs qui précèdent ce rendez-vous contribuent à fabriquer de nouvelles représentations.",http://lafoliekilometre.org/accueil/travaux/qui-leut-crue/,False,Rochetaillée-sur-Saône,Rochetaillée-sur-Saône,Rhône,69,2023-10-14,2023-10-14,Spectacle,True,Tous publics,Inondations,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,45.8425965,4.836331433428032
MAIRIE DE LA ROCHELLE,accepte,"Mise en place des protections amovibles, communication grand public",17-CHARENTE-MARITIME,13561666_A_1,Exercice de déploiement des systèmes amovibles de protection contre le risque de submersion marine à La Rochelle,"Afin de réagir efficacement en cas d'un risque de submersion, la Ville de La Rochelle a mis en place une équipe de 45 agents municipaux pour intervenir dans le déploiement des dispositifs de protection (clapets, batardeaux, bâche). Cette équipe nommée ""GIL"" Groupe d'Intervention Littorale s'exerce annuellement pour vérifier le fonctionnement du matériel et les techniques de pose. L'exercice se déroule sur une journée entière dans les secteurs Vieux-Port, Gabut et Ville en Bois et Port neuf.",,False,Quai Duperré 17000 La Rochelle,La Rochelle,Charente-Maritime,17,2023-10-12,2023-10-13,"Formation, Exercice de gestion de crise",True,Tous publics,Risques littoraux,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,46.1581073,-1.1530997
Howa Tramico,en_instruction,Présentation de l'Entreprise  avec les risques sécurité et les moyens de protections mis en place sur le site. Puis présentation du  dispositif POI/PPI,27-EURE,13582296_A_1,Présentation de l'Entreprise et de son dispositif POI/PPI,Présentation de l'Entreprise  avec les risques sécurité et les moyens de protections mis en place sur le site. Puis présentation du  dispositif POI/PPI,,False,Rue d’Authou 27800 Brionne,Brionne,Eure,27,2023-10-13,2023-10-13,"Exercice de gestion de crise, Réunion d'information",True,Tous publics,Risques littoraux,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,49.2102692,0.7098953
Mairie de Saint-Rémy-de-Provence,accepte,La ville de Saint-Rémy-de-Provence souhaite faire connaître au grand public son plan communal de sauvegarde récemment mis à jour,13-BOUCHES-DU-RHONE,13583802_A_1,Réunion publique de présentation du Plan communal de sauvegarde,"Après révision du Plan communal de sauvegarde et mise à jour du Dicrim, cette réunion offrira l'occasion aux habitants de se familiariser davantage avec les risques majeurs de la commune pour mieux s'y préparer.",www.mairie-saintremydeprovence.fr,False,"Alpilium, Av du Mal de Lattre de Tassigny 13210 Saint-Rémy-de-Provence",Saint-Rémy-de-Provence,Bouches-du-Rhône,13,2023-10-03,2023-10-03,"Réunion d'information, Conférence",True,Tous publics,"Inondations, Feux de forêt, Séisme, Tempête/cyclone, Inondations, Feux de forêt, Séisme, Tempête/cyclone",False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,,
Institut des Premiers Secours,accepte,"Mettre en place des ateliers sur les risques majeurs de notre département, préparer un kit de survie et éducation sur les conduites à tenir en milieux naturels.",60-OISE,13598436_A_1,Education aux risques majeurs et initiation aux conduites à tenir,Actions de sensibilisation auprès de publics de mission locales et actions menées dans les lycées autour des risques majeurs et des dangers associés. Présentation des conduites à tenir et inventaires des sacs d'urgences à prévoir. ,www.institut-secours.fr,False,62 Rue de Soissons ,Crépy-en-Valois,Oise,60,2023-10-01,2023-10-31,Atelier sensibilisation,True,Jeune public,Tempête/cyclone,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,49.234305,2.8997741
Préfecture du Pas-de-Calais,accepte,"Organisation d'une action de sensibilisation des personnels de préfecture pendant toute la semaine du 13 octobre 2023. Des informations seront transmises chaque jour par mail à l'ensemble du personnel. Le vendredi 13 octobre, un salon se tiendra dans les locaux de la préfecture en présence d'autres services (déminage, association agrées de sécurité civile, etc.). Un jeu de questions-réponse sera alors proposé au personnel. ",62-PAS-DE-CALAIS,13599757_A_1,,"Diffusion de mails d'information sur différentes thématiques : FR-Alert, SAIP, déminage, risque industriel, plan de mise en sureté familiale, vigilance météo, etc...",,True,,,,,2023-10-09,2023-10-13,Autre,False,Salarié,Tempête/cyclone,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,,
Préfecture du Pas-de-Calais,accepte,"Organisation d'une action de sensibilisation des personnels de préfecture pendant toute la semaine du 13 octobre 2023. Des informations seront transmises chaque jour par mail à l'ensemble du personnel. Le vendredi 13 octobre, un salon se tiendra dans les locaux de la préfecture en présence d'autres services (déminage, association agrées de sécurité civile, etc.). Un jeu de questions-réponse sera alors proposé au personnel. ",62-PAS-DE-CALAIS,13599757_A_2,,"Organisation d'un forum de la résilience en présence d'autres services de l'Etat et d'association(s) agrée(s) de sécurité civile. Le services participants restent encore à définir. Un jeu de questions-réponses sera proposé avec la possibilité de gagner des ""kits d'urgence"". ",,False,Rue Ferdinand Buisson 62000 Arras,Arras,Pas-de-Calais,62,2023-10-13,2023-10-13,Atelier sensibilisation,False,Salarié,Tempête/cyclone,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,50.291591,2.763908
